State,0,3,6,9,12,15,18,21
Alava,0,0,0,0,0,0,0,0
Albacete,0,0,2,12,9,7,8,5
Alicante,5,1,7,30,38,31,27,18
Almeria,0,0,0,0,0,0,0,0
Asturias,0,0,0,0,2,1,2,0
Avila,3,0,1,7,9,5,5,1
Badajoz,1,0,0,11,22,18,13,8
Baleares,0,0,6,5,1,3,4,2
Barcelona,39,50,140,236,365,353,330,246
Bizkaia,0,0,0,0,0,0,0,0
Burgos,3,5,18,19,27,16,5,4
Caceres,0,0,4,9,18,10,17,6
Cadiz,1,0,5,11,25,8,10,13
Cantabria,0,0,0,0,0,0,0,0
Ceuta,0,0,0,0,0,0,0,1
Ciudad Real,1,0,5,8,6,2,7,7
Cordoba,0,0,0,0,0,0,0,0
Cuenca,2,0,0,1,2,4,2,3
Gerona,0,0,0,0,0,0,0,0
Gipuzkoa,0,0,0,0,0,0,0,0
Granada,11,7,10,33,63,38,51,42
Guadalajara,0,0,1,9,4,8,6,9
Huelva,11,0,4,13,11,8,10,10
Huesca,0,1,0,2,4,1,1,1
Jaen,2,1,2,6,14,4,14,26
La Coruna,3,3,7,15,33,24,26,12
La Rioja,0,0,0,0,0,0,2,0
Las Palmas,0,0,0,1,3,2,5,1
Leon,3,0,9,11,16,19,13,7
Lerida,0,0,0,0,0,0,0,0
Lugo,0,0,1,7,1,0,6,2
Madrid,95,54,158,406,597,460,461,389
Malaga,4,12,26,65,112,82,73,71
Melilla,0,0,0,0,0,0,0,0
Murcia,6,3,8,36,39,52,31,31
Navarra,0,0,0,0,0,0,0,0
Orense,0,0,0,0,0,0,0,0
Palencia,1,0,1,6,14,1,3,2
Pontevedra,0,0,2,3,8,5,9,5
Salamanca,4,3,8,17,32,28,36,22
Santa Cruz de Tenerife,0,0,0,0,0,0,0,0
Segovia,1,0,1,8,7,9,6,3
Sevilla,1,0,0,0,0,0,0,0
Soria,0,0,1,5,9,4,4,1
Tarragona,1,0,9,9,25,15,16,3
Teruel,0,0,0,0,1,1,1,0
Toledo,0,0,3,6,17,11,15,2
Valencia,19,9,35,111,145,114,92,80
Valladolid,1,10,9,18,36,28,28,16
Zamora,0,0,0,2,10,5,3,3
Zaragoza,0,0,0,0,0,0,0,0
Castellon,0,0,0,0,0,0,0,0
SPAIN,218,159,483,1138,1725,1377,1342,1052
