State,0,3,6,9,12,15,18,21
Alava,0,0,0,0,0,1,0,0
Albacete,0,1,5,1,9,2,7,6
Alicante,1,6,7,20,19,27,26,11
Almeria,0,0,0,0,0,0,0,0
Asturias,0,0,0,1,0,0,2,0
Avila,0,0,1,0,6,3,3,1
Badajoz,0,1,4,10,19,15,23,6
Baleares,1,1,3,4,0,2,4,3
Barcelona,21,64,207,193,190,262,296,144
Bizkaia,0,0,0,0,0,0,0,0
Burgos,0,2,5,2,8,9,9,3
Caceres,2,0,4,12,8,5,10,3
Cadiz,0,0,9,6,20,13,17,8
Cantabria,0,0,0,0,0,0,0,0
Ceuta,0,0,0,0,1,0,0,0
Ciudad Real,0,0,3,5,8,7,7,2
Cordoba,0,0,0,0,0,0,0,0
Cuenca,0,0,2,0,1,5,3,2
Gerona,0,0,0,0,0,0,0,0
Gipuzkoa,0,0,0,0,0,0,0,0
Granada,9,5,14,23,49,31,49,36
Guadalajara,1,0,6,0,2,3,6,1
Huelva,0,4,4,1,15,15,65,3
Huesca,0,0,0,1,2,2,0,0
Jaen,0,0,1,6,19,6,7,6
La Coruna,4,10,14,13,24,20,42,18
La Rioja,0,0,0,0,1,0,2,0
Las Palmas,0,0,0,0,0,1,0,0
Leon,4,6,4,3,2,14,14,10
Lerida,0,0,0,0,0,0,0,0
Lugo,0,0,2,0,5,2,5,1
Madrid,31,84,321,330,428,406,505,244
Malaga,2,5,29,59,56,77,72,61
Melilla,0,0,0,0,0,0,0,0
Murcia,3,2,18,18,35,16,23,16
Navarra,0,0,0,0,0,0,0,0
Orense,0,0,0,0,0,0,0,0
Palencia,1,2,1,1,2,3,5,1
Pontevedra,1,0,1,2,1,4,6,3
Salamanca,1,0,9,15,15,15,19,11
Santa Cruz de Tenerife,0,0,0,0,0,0,0,0
Segovia,0,5,8,6,5,4,3,3
Sevilla,0,0,0,1,0,0,0,0
Soria,0,0,0,0,0,0,2,3
Tarragona,0,3,9,6,6,1,11,3
Teruel,0,0,1,2,1,2,1,0
Toledo,2,2,3,2,7,6,13,3
Valencia,16,21,49,55,64,52,83,48
Valladolid,2,0,11,8,19,18,22,10
Zamora,0,0,1,2,4,5,6,4
Zaragoza,0,0,0,0,0,0,0,0
Castellon,0,0,0,0,0,0,0,0
SPAIN,102,224,756,808,1051,1054,1368,674
