State,0,3,6,9,12,15,18,21
Alava,0,0,0,0,0,0,0,0
Albacete,1,1,7,7,9,2,6,4
Alicante,3,4,26,25,32,27,29,12
Almeria,0,0,0,0,0,0,0,0
Asturias,0,0,0,2,0,0,3,2
Avila,1,0,0,4,1,5,2,2
Badajoz,1,3,10,10,32,12,15,14
Baleares,0,2,2,4,2,1,6,3
Barcelona,30,63,196,223,265,220,213,113
Bizkaia,0,0,0,0,0,0,0,0
Burgos,1,2,14,11,21,7,3,3
Caceres,0,1,5,7,28,4,11,9
Cadiz,0,2,5,19,15,9,12,11
Cantabria,0,0,0,0,0,0,0,0
Ceuta,0,0,0,0,0,0,0,0
Ciudad Real,0,0,3,9,5,3,7,2
Cordoba,0,0,0,0,0,0,0,0
Cuenca,0,1,0,4,5,2,3,1
Gerona,0,0,0,0,0,0,0,0
Gipuzkoa,0,0,0,0,0,0,0,0
Granada,10,9,17,36,61,33,52,36
Guadalajara,0,9,0,3,4,12,4,1
Huelva,0,2,5,7,17,5,12,8
Huesca,0,0,1,0,2,1,1,0
Jaen,0,2,7,9,31,6,7,4
La Coruna,0,1,20,16,27,11,27,30
La Rioja,0,0,0,0,0,0,0,0
Las Palmas,0,0,0,0,4,1,1,1
Leon,3,1,4,14,22,3,14,7
Lerida,0,0,0,0,2,4,1,0
Lugo,0,0,4,1,3,5,3,2
Madrid,74,98,395,450,568,383,403,272
Malaga,3,13,34,83,99,53,49,52
Melilla,0,0,0,0,0,0,0,0
Murcia,10,3,30,15,36,21,24,19
Navarra,0,0,0,0,0,0,0,0
Orense,0,0,0,0,0,0,0,0
Palencia,0,0,0,5,6,2,5,3
Pontevedra,0,0,3,4,5,1,4,2
Salamanca,3,9,17,24,13,13,15,12
Santa Cruz de Tenerife,0,0,0,0,0,0,0,0
Segovia,0,0,3,3,8,0,3,3
Sevilla,0,0,0,0,2,0,0,0
Soria,0,0,0,4,3,3,2,1
Tarragona,1,1,5,9,6,10,4,4
Teruel,0,2,0,0,5,1,0,1
Toledo,1,0,2,5,14,24,12,7
Valencia,12,13,45,62,58,46,65,50
Valladolid,0,7,30,17,21,9,10,8
Zamora,1,0,1,2,3,4,2,1
Zaragoza,0,0,0,0,0,0,0,0
Castellon,0,0,0,0,0,0,0,0
SPAIN,155,249,891,1094,1435,943,1030,700
