State,0,3,6,9,12,15,18,21
Alava,0,0,0,0,0,0,0,0
Albacete,1,0,1,11,4,3,5,3
Alicante,1,2,15,13,19,16,16,22
Almeria,0,0,0,0,0,0,0,0
Asturias,0,0,0,0,0,0,1,0
Avila,0,0,2,3,2,4,6,7
Badajoz,1,0,7,11,13,11,10,7
Baleares,1,1,2,2,1,4,2,3
Barcelona,28,8,185,221,143,245,219,201
Bizkaia,0,0,0,0,0,0,0,0
Burgos,0,0,10,5,10,26,12,13
Caceres,2,0,2,8,9,5,7,9
Cadiz,1,0,4,8,10,17,9,18
Cantabria,0,0,0,0,0,0,0,0
Ceuta,0,0,1,0,0,0,0,0
Ciudad Real,1,0,4,4,7,4,3,1
Cordoba,0,0,0,0,0,0,0,0
Cuenca,0,0,2,2,0,2,4,2
Gerona,0,0,0,0,0,0,0,0
Gipuzkoa,0,0,0,0,0,0,0,0
Granada,8,2,22,35,32,40,33,37
Guadalajara,0,0,4,1,1,0,3,5
Huelva,0,0,1,7,10,4,15,7
Huesca,0,0,3,3,1,5,4,0
Jaen,0,0,8,2,6,9,4,14
La Coruna,4,1,10,13,13,13,29,22
La Rioja,0,0,0,0,0,0,0,0
Las Palmas,0,0,0,1,0,1,0,1
Leon,5,2,6,8,3,11,23,16
Lerida,0,0,0,0,0,0,0,0
Lugo,0,0,0,0,1,1,3,2
Madrid,88,11,290,339,325,366,356,374
Malaga,8,1,32,49,27,45,60,81
Melilla,0,0,0,0,0,0,0,0
Murcia,6,1,18,23,14,30,19,22
Navarra,0,0,0,0,0,0,0,0
Orense,0,0,0,0,0,0,0,0
Palencia,0,0,0,1,5,2,1,1
Pontevedra,0,0,5,4,3,2,5,6
Salamanca,1,0,4,17,14,28,11,12
Santa Cruz de Tenerife,0,0,0,0,0,0,0,0
Segovia,0,1,1,5,4,3,5,2
Sevilla,0,0,0,0,0,1,0,0
Soria,0,0,1,1,0,0,1,3
Tarragona,0,0,3,5,5,5,6,7
Teruel,0,0,1,1,1,0,0,4
Toledo,1,0,3,8,9,6,12,7
Valencia,8,8,68,61,47,84,84,81
Valladolid,0,0,7,7,8,14,16,18
Zamora,1,0,3,3,3,5,2,4
Zaragoza,0,0,0,0,0,0,0,0
Castellon,0,0,0,0,0,0,0,0
SPAIN,166,38,725,882,750,1012,986,1012
