State,0,3,6,9,12,15,18,21
Alava,0,0,0,0,0,1,0,0
Albacete,0,0,2,7,6,9,12,3
Alicante,2,9,14,13,43,22,31,15
Almeria,0,0,0,0,0,0,0,0
Asturias,0,0,0,1,2,1,1,0
Avila,1,0,2,2,8,10,5,2
Badajoz,0,0,7,9,22,8,7,9
Baleares,2,2,2,6,5,2,6,1
Barcelona,18,65,177,238,272,294,193,122
Bizkaia,0,0,0,0,0,0,0,0
Burgos,1,3,9,6,13,10,7,2
Caceres,1,1,4,10,10,8,5,3
Cadiz,4,0,7,9,25,11,20,7
Cantabria,0,0,0,0,0,0,0,0
Ceuta,0,0,0,0,0,0,0,2
Ciudad Real,0,0,4,1,7,3,3,3
Cordoba,0,0,0,0,0,0,0,0
Cuenca,0,0,2,4,3,3,2,0
Gerona,0,0,0,0,0,0,0,0
Gipuzkoa,0,0,0,0,0,0,0,0
Granada,5,12,23,19,46,40,45,27
Guadalajara,0,0,4,0,4,4,5,0
Huelva,1,0,2,4,17,5,7,4
Huesca,0,0,2,1,2,6,1,0
Jaen,0,1,7,6,20,8,5,3
La Coruna,6,2,23,13,27,31,32,12
La Rioja,0,0,1,1,0,0,0,0
Las Palmas,0,0,0,0,0,2,1,0
Leon,10,2,8,8,12,17,7,4
Lerida,0,0,0,0,0,0,0,0
Lugo,0,0,1,2,1,3,3,4
Madrid,64,86,324,327,516,460,392,218
Malaga,8,7,32,53,98,72,62,39
Melilla,0,0,0,0,0,0,0,0
Murcia,1,1,16,22,31,22,40,17
Navarra,0,0,0,0,0,0,0,0
Orense,0,0,0,0,0,0,0,0
Palencia,0,0,2,2,7,0,4,1
Pontevedra,0,0,0,1,6,5,12,2
Salamanca,4,3,5,9,18,24,15,7
Santa Cruz de Tenerife,0,0,0,0,0,0,0,0
Segovia,0,0,2,10,10,3,3,5
Sevilla,0,0,0,0,0,0,1,0
Soria,0,0,2,1,0,0,1,0
Tarragona,0,3,6,3,5,7,2,1
Teruel,0,0,0,1,1,3,1,0
Toledo,0,1,4,12,13,10,4,5
Valencia,10,29,64,58,93,104,84,35
Valladolid,4,5,19,15,22,16,23,10
Zamora,0,0,0,0,6,2,2,4
Zaragoza,0,0,0,0,0,0,0,0
Castellon,0,0,0,0,0,0,0,0
SPAIN,142,232,777,874,1371,1226,1044,567
