Tweet content,Latitude,Longitude,sentiment
"Friends are the family who chooses. @ Simes, Galicia, Spain https://t.co/KL0iAZXLXg",42.4333,-8.76667,0.0
"☀️ #madrid #espana #chilluh @ Madrid, Spain https://t.co/vQv6zenIoD",40.4,-3.68333,0.0
I'm at Vista Alegre https://t.co/a3nf9Ajce7,40.40939012,-3.71053415,0.0
"Good face to bad days😊😽 @ Mérida, Spain https://t.co/bNfOkKMW3D",38.9,-6.33333333,5.551115123125783e-17
I'm at Carabanchel https://t.co/odSPplonbj,40.37237368,-3.74059064,0.0
"Spain, Ibiza
Surrounded By Nature, With Stunning Views, In Es Cubells, The Most Sought After… https://t.co/xRswxX3A4p",38.97761701,1.30102262,0.5
"Spain, Ibiza
Surrounded By Nature, With Stunning Views, In Es Cubells, The Most Sought After… https://t.co/o794frN551",38.97761701,1.30102262,0.5
At the largest #winery I've seen ever in #logroño #spain  Biggest premium wine aging cellar in… https://t.co/WorqMIstVc,42.465,-2.44555556,0.0
@ivetterequenes .  Can you put name ? To this Chapter ? https://t.co/NqBVGzYZyG,41.2852205,1.9828342,0.0
"Este DOMINGO! @Budweiser_es getmadfestival madklyn ❤️, a las 13:30h! @ Madrid, Spain https://t.co/AL2aBYd5HF",40.4,-3.68333,0.0
"🙈🙈 @ Madrid, Spain https://t.co/rGW8H50BUC",40.4,-3.68333,0.0
"Spain, Ibiza
Surrounded By Nature, With Stunning Views, In Es Cubells, The Most Sought After… https://t.co/Se4sK66iQP",38.97761701,1.30102262,0.5
Just posted a photo @ El Gothic https://t.co/VKsCyC1X0n,41.38392549,2.1755177000000003,0.0
"Off we go on the big #boat !  #sea #voyage #ibiza2016 #Balearia @ Ibiza, Spain https://t.co/DnsiBUKAZU",38.9,1.43333,0.0
Just posted a photo @ Aloha Golf Club https://t.co/FX0SE11SyD,36.51157,-4.95884,0.0
"Échale un vistazo! @Vic_vec 

The Hitchhiker's Guide to Quantum Field Theory | Boston Review https://t.co/uZiSQN9w9A",41.38480161,2.11627807,0.0
Oh 🤔 @ Burguer King - Perillo https://t.co/HO1lt9TvMP,43.32523,-8.363712,0.0
I just began a running workout using #Endomondo. Peptalk me now @ https://t.co/TB1GjsyxMg,39.495148,2.506139,0.0
"Spain, Ibiza
Surrounded By Nature, With Stunning Views, In Es Cubells, The Most Sought After… https://t.co/I6OP9ATttV",38.97761701,1.30102262,0.5
I'm at @ADHOCSTUDIOS in Madrid https://t.co/mU5AkDUPXS,40.370888,-3.753099,0.0
"💛 @ Seville, Spain https://t.co/LUG0KXLmsF",37.3772,-5.98694,0.0
"#Deorro #2015 @ Dreambeach Music Festival 2015, Villericos https://t.co/IXxEtukmMv",37.24366515,-1.79196555,0.0
Just posted a photo @ Fabrica Estrella Damm Barcelona https://t.co/xnOKv031fk,41.40924023,2.17793087,0.0
Enjoying the sun 🌞 @ Benalmadena Costa Del Sol https://t.co/q12iu3IOvW,36.60252,-4.5226,0.5
Style is always better with a tan @fakebake_spain… https://t.co/ySfgSghlvR,40.0,-4.0,0.5
👠 Fitting  acabado 👠#madrid #fiting mensfashions #model #saracarbonero #lifestyle #agatajoyas @… https://t.co/iyAmamR90P,40.4,-3.68333,0.5
My love for the weekend! #lasmorasracingteam #v8racingteam #rs01 #renaultsport #formulamedicine… https://t.co/eqRBH6Cz8R,41.07738755,-0.19723171,0.625
Be happy 😊😊 @ Almaraz https://t.co/cqWYXJrSVs,39.8,-5.66666667,0.8
love this place in Barcelona🇪🇸🇪🇸 #barceloneta #barcelona #spain #pistillfinnyineurope @… https://t.co/uNurx5GTvb,41.3833,2.18333,0.5
"DSS 63 receiving data from @NASAKepler at 249b/s.
IN LOCK IN LOCK 1 TURBO",40.429167,-4.249167,0.0
"🌌💥 @ Cartagena, Murcia https://t.co/Mxt3c7Adl3",37.6,-0.983333,0.0
Pop Art 🎨 @ Calle Victoria https://t.co/ai0Y36bfkl,36.72411977,-4.41574357,0.0
"Brain is the new sexy.
#Readingissexy @ Cafe Dindurra https://t.co/yS3DdrtYym",43.5392189,-5.6612301,0.3181818181818182
"The tomb of Christopher Columbus 
#whatanasshole @ Seville Cathedral https://t.co/MNmO99nHtr",37.38583333,-5.99305556,0.0
Mood on set today 🙈🤓👻 zara @patriciadlcampo @ Inditex https://t.co/hIQvhfP21G,43.31472222,-8.505,0.0
Just posted a photo @ Tattoo Trueque https://t.co/G8ZUd0RS0V,37.35172,-6.03734,0.0
"DSS 63 carrier lock on @NASAKepler
Frequency: 8.4245GHz
Signal strength: -169dBm
IDLE OFF 1 TURBO",40.429167,-4.249167,0.0
"DSS 65 receiving data from GEOTAIL at 131.1kb/s.
IN LOCK OFF 1 MCD2",40.429167,-4.249167,0.0
I'm at Gambrinus Gral Ricardos in Madrid https://t.co/WRdABA4ikd,40.38960665,-3.72722339,0.0
I'm at Metro Oporto - @metro_madrid in Madrid https://t.co/6mPebMAw2K,40.38874009,-3.73169303,0.0
Just posted a video @ Burguer King - Perillo https://t.co/zK1fOKqS82,43.32523,-8.363712,0.0
ding ding ding!!!!,41.545639,1.893817,0.0
