Tweet content,Latitude,Longitude,sentiment
"@donbroco You Wanna Know 

11.04.16 @ Razzmatazz https://t.co/IsHBo7HcwI",41.39774,2.19108,0.0
Gira el mundo gira y yo a veces me paro a verlo... Memories from Madrid... Smile and good night… https://t.co/AJNYqCet3E,40.41355556,-3.68205556,0.5
I've got green eyes ⭐,37.6258701,-1.002098,-0.2
Windy day to start our Barcelona adventures||🌬 @ Park Güel by Antoni… https://t.co/9gCmRUAryM,41.41364413,2.15292187,0.0
Maaaca 😉😏🙊👸👯 @ Manhattan Madrid https://t.co/eYt9kdpeED,40.44906998,-3.69517464,0.0
Just posted a photo @ Puerto Sherry https://t.co/HivVs1nKEK,36.58044007,-6.26123409,0.0
Just posted a photo @ 20 de  Abril https://t.co/jDfUdUcjiD,36.71995,-4.36402,0.0
Beauty ❤️ #crocodile #reptile #crocodilia #crocodylussiamensis @ Barcelona Zoo https://t.co/eysYw6xB5E,41.3868,2.19035,0.0
"Just posted a photo @ Badajoz, Spain https://t.co/mRc5Wc3uEZ",38.8789,-6.9669,0.0
The light between the shadows. @ Sabatini Gardens https://t.co/IwdhLGK3n7,40.42021,-3.71394,0.4
"➕✖️ @ Seville, Spain https://t.co/xR9KVDwHTC",37.3772,-5.98694,0.0
ding ding!!!!!!!!!!,41.545639,1.893817,0.0
"""Everybody got their reason
Everybody got their way
We're just… https://t.co/ILsCP0AADY",37.18331937,-6.98032316,0.0
"Sparkly sparkles ✨
#draw #drawing #art #illustration #watercolor #girl #cute #kawaii #hair… https://t.co/kcoALLaCxU",36.7167,-4.41667,0.5
"🔧🔧🔧🔩🔩🔩🔩 @ Cartagena, Murcia https://t.co/mOmkgsAAEU",37.6,-0.983333,0.0
😜😜 @ Kandhavia https://t.co/9CwFyxGVyP,40.96567425,-5.66129494,0.0
"Baby, I don't need dollar bills to have fun tonight
I love cheap thrills 😝
📷 :javiermrkm @… https://t.co/WTY2TeiyLq",40.43732,-3.71135,0.4000000000000001
"@donbroco Money Power Fame.

11.04.16 @ Razzmatazz https://t.co/4Pimj2kEX6",41.39774,2.19108,0.0
💉💉💉 @ Navy Tattoo https://t.co/8a8S3rqyWC,43.35466921,-8.39559853,0.0
"Fall down seven times,  stand up eight! 🤘 @ La Monacilla Golf. https://t.co/MFzxLHMlxt",37.29064874,-6.99835815,-0.19444444444444448
"""Take me up, take me higher."" 💫
#Barcelona #Barceloneta #WBarcelona… https://t.co/SE30kZG4pM",41.37912644,2.19213455,0.25
