Tweet content,Latitude,Longitude,sentiment
I just finished walking 8.33 km in 1h:26m:13s with #Endomondo #endorphins https://t.co/qKh9RN0uvS,37.324493,-6.677636,0.0
"Wind 5,4 km/h N. Barometer 1016,3 hPa, Aumentando. Temperature 22,8 °C. Rain today 0,0 mm. Humidity 35%",37.89138889,-1.21416667,0.0
Just posted a photo @ Plaza Del Callao - Madrid https://t.co/eY6FWROeGR,40.42023261,-3.70582086,0.0
"🇺🇸 YOU DIDN'T COME THIS FAR TO STAY HERE, DID YOU? PUSH YOUR LIMITS. HAPPY SUNDAY! 😃
 -
🇪🇸 NO… https://t.co/rczgjnMGLw",42.35,-3.7,0.55
"#trackoftheday from @theupbeats 
With 'Pharaoh' -Nice vibes for a #chillout #sunday -out now on… https://t.co/HanMxehWsV",41.29694444,2.07833333,0.6
I just began a running workout using #Endomondo. Peptalk me now @ https://t.co/JTH0I6v4Ta,37.6141354,-0.9973022,0.0
"ALBERT DIAZ SETUP🔥
Trashed Love!! #lovefingerboarding… https://t.co/eiHpa95v9v",41.3833,2.18333,0.78125
I'm at Gelattiamo in Sitges https://t.co/aboJrAqsbh,41.23643058,1.80924574,0.0
"Last view from the top
Feria 2k16
Photo by Mara @ Feria de Abril de Sevilla https://t.co/IW33C92MfG",37.37514,-5.99293,0.25
I just finished cycling 25.27 km in 2h:03m:26s with #Endomondo #endorphins https://t.co/lvSa4IAc1A,40.385886,-3.685246,0.0
I just finished running 16.32 km in 1h:24m:57s with #Endomondo #endorphins https://t.co/huetfIXKOu,37.28464879999999,-5.9501111,0.0
@JaredLeto I hope that you have enjoyed so much Zedd and Gn'R #Iamgreenenvy .... Enjoy the night and Sweet Dreams. Love you. XO,41.6524211,-0.8697562,0.39
Sunday #haveaniceday #sunday #necklace #pink #naturelovers #barcelonainstagram #polymerclay… https://t.co/DvmOB4KJBV,41.3833,2.18333,-0.1
"From Barcelona, 30 years listening best album ever. Thank you Peter. I love your way… https://t.co/S25W8BQB8I",41.399686,2.2031110000000003,0.75
he used to live in grey until she came along and coloured his whole… https://t.co/bUYsBfQuQN,40.481192,-3.618653,0.09545454545454546
I'm a new guy from finished Golf Union #SpellingMistakes #NotJustOne @ Real Monasterio De El… https://t.co/oQsRtlxap0,40.59051277,-4.14797678,0.16818181818181818
